post_id,url,author,likes,has_media,published_at,retrieved_at,metrics_source,decision,case_slug,reason_zh,reason_en
2099925682726002904,https://x.com/CompleteSkeptic/status/2099925682726002904,CompleteSkeptic,75620,True,2026-09-15T18:17:52+00:00,2026-09-23T04:32:51+00:00,https://api.fxtwitter.com/status/2099925682726002904,not_distinct_app,,公告、讨论、教程合集或传播帖，未单列为独立应用。,"Announcement, discussion, tutorial collection or redistribution; not counted as a distinct app."
2099944756931596454,https://x.com/typesafeai/status/2099944756931596454,typesafeai,4006,False,2026-09-15T19:33:39+00:00,2026-09-23T04:32:51+00:00,https://api.fxtwitter.com/status/2099944756931596454,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100036101809619314,https://x.com/NathanFlurry/status/2100036101809619314,NathanFlurry,7524,False,2026-09-16T01:36:38+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100036101809619314,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100042788851101842,https://x.com/ryanvogel/status/2100042788851101842,ryanvogel,3550,True,2026-09-16T02:03:12+00:00,2026-09-23T04:32:51+00:00,https://api.fxtwitter.com/status/2100042788851101842,new_case,email-1500-ryan,正式案例主帖；同项目不重复计数。,Formal main post; the project is counted once.
2100096510436475293,https://x.com/nathanwchan/status/2100096510436475293,nathanwchan,495,True,2026-09-16T05:36:40+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100096510436475293,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100113737097367896,https://x.com/paarangatrai/status/2100113737097367896,paarangatrai,2300,False,2026-09-16T06:45:07+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100113737097367896,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100262612428894676,https://x.com/awlevin/status/2100262612428894676,awlevin,2329,True,2026-09-16T16:36:42+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100262612428894676,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100277062309179521,https://x.com/cocktailpeanut/status/2100277062309179521,cocktailpeanut,795,True,2026-09-16T17:34:07+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100277062309179521,not_distinct_app,,公告、讨论、教程合集或传播帖，未单列为独立应用。,"Announcement, discussion, tutorial collection or redistribution; not counted as a distinct app."
2100287368221659289,https://x.com/stevekrouse/status/2100287368221659289,stevekrouse,592,True,2026-09-16T18:15:04+00:00,2026-09-23T04:29:56+00:00,https://api.fxtwitter.com/status/2100287368221659289,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100339921714323624,https://x.com/kmad/status/2100339921714323624,kmad,16,True,2026-09-16T21:43:54+00:00,2026-09-23T04:32:51+00:00,https://api.fxtwitter.com/status/2100339921714323624,below_threshold,,原帖取数未达 200 赞。,Original snapshot is below 200 likes.
2100341039986798930,https://x.com/justALEXWORTEGA/status/2100341039986798930,justALEXWORTEGA,782,True,2026-09-16T21:48:21+00:00,2026-09-23T04:32:51+00:00,https://api.fxtwitter.com/status/2100341039986798930,outside_scope,,独立兼容/仿制模型，不能直接计为 TypeSafe Jev 应用。,"Independent compatible/clone model, not automatically a TypeSafe Jev application."
2100362415187833048,https://x.com/Kostastsale/status/2100362415187833048,Kostastsale,206,False,2026-09-16T23:13:17+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100362415187833048,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100368024649769384,https://x.com/dwhitedesign/status/2100368024649769384,dwhitedesign,54,True,2026-09-16T23:35:34+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100368024649769384,below_threshold,,原帖取数未达 200 赞。,Original snapshot is below 200 likes.
2100400923826606523,https://x.com/Neel490/status/2100400923826606523,Neel490,1520,True,2026-09-17T01:46:18+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100400923826606523,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100408498446111031,https://x.com/mormonnegro/status/2100408498446111031,mormonnegro,213,True,2026-09-17T02:16:24+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100408498446111031,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100413576284712999,https://x.com/jkudish/status/2100413576284712999,jkudish,238,False,2026-09-17T02:36:35+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100413576284712999,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100421326389354624,https://x.com/swill1ams/status/2100421326389354624,swill1ams,1394,False,2026-09-17T03:07:22+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100421326389354624,missing_media,,未取得主帖自身图片或视频，引用媒体不替代。,No image/video attached to the original itself; quoted media is not substituted.
2100437998571860087,https://x.com/grichadev/status/2100437998571860087,grichadev,925,True,2026-09-17T04:13:37+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100437998571860087,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100438353946513815,https://x.com/AlanDaitch/status/2100438353946513815,AlanDaitch,49,True,2026-09-17T04:15:02+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100438353946513815,below_threshold,,原帖取数未达 200 赞。,Original snapshot is below 200 likes.
2100440723837313349,https://x.com/Neel490/status/2100440723837313349,Neel490,1373,True,2026-09-17T04:24:27+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100440723837313349,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100454043361722798,https://x.com/rheum_ai/status/2100454043361722798,rheum_ai,432,True,2026-09-17T05:17:23+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100454043361722798,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100454049359577516,https://x.com/wmoto_ai/status/2100454049359577516,wmoto_ai,387,True,2026-09-17T05:17:24+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100454049359577516,outside_scope,,独立兼容/仿制模型，不能直接计为 TypeSafe Jev 应用。,"Independent compatible/clone model, not automatically a TypeSafe Jev application."
2100467548298899918,https://x.com/iamMrDuncan/status/2100467548298899918,iamMrDuncan,209,True,2026-09-17T06:11:02+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100467548298899918,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100478725393686556,https://x.com/0xLogicrw/status/2100478725393686556,0xLogicrw,1636,True,2026-09-17T06:55:27+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100478725393686556,not_distinct_app,,公告、讨论、教程合集或传播帖，未单列为独立应用。,"Announcement, discussion, tutorial collection or redistribution; not counted as a distinct app."
2100481938016669917,https://x.com/_trou3/status/2100481938016669917,_trou3,987,True,2026-09-17T07:08:13+00:00,2026-09-23T04:32:50+00:00,https://api.fxtwitter.com/status/2100481938016669917,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100513641556549700,https://x.com/krzysztof_moch/status/2100513641556549700,krzysztof_moch,781,True,2026-09-17T09:14:12+00:00,2026-09-23T04:29:57+00:00,https://api.fxtwitter.com/status/2100513641556549700,pending_review,,虽达到点赞/媒体门槛，具体任务、组件分工或独立实现关系尚未充分核清；保留线索，不表示项目无效。,"Meets like/media thresholds, but task details, component roles or implementation identity still need review; retained as a lead, not judged invalid."
2100515910754750741,https://x.com/milindlabs/status/2100515910754750741,milindlabs,184,True,2026-09-17T09:23:13+00:00,2026-09-23T04:32:49+00:00,https://api.fxtwitter.com/status/2100515910754750741,below_threshold,,原帖取数未达 200 赞。,Original snapshot is below 200 likes.
